,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
MED28,MED28,2.33E-11,-0.596979276,0.091,0.217,4.46E-07,B cell
LDLRAD4.1,LDLRAD4,2.42E-11,-0.521637533,0.032,0.138,4.63E-07,B cell
SZRD1.1,SZRD1,2.44E-11,-0.521485685,0.05,0.166,4.67E-07,B cell
SGK1.1,SGK1,2.49E-11,-1.129220643,0.126,0.253,4.77E-07,B cell
CLNS1A,CLNS1A,2.51E-11,-0.64110606,0.104,0.229,4.80E-07,B cell
KLF10,KLF10,2.85E-11,-0.585056379,0.05,0.166,5.45E-07,B cell
ELMSAN1.1,ELMSAN1,2.90E-11,-0.520975802,0.03,0.135,5.53E-07,B cell
TANK.1,TANK,3.00E-11,-0.903123837,0.236,0.344,5.73E-07,B cell
RNF166.1,RNF166,3.16E-11,-0.632438249,0.061,0.179,6.04E-07,B cell
GADD45G.1,GADD45G,3.21E-11,-0.576255418,0.02,0.119,6.13E-07,B cell
PTBP3.1,PTBP3,3.50E-11,-0.587162557,0.056,0.172,6.68E-07,B cell
SCNM1,SCNM1,3.70E-11,-0.459885776,0.045,0.157,7.07E-07,B cell
NDUFA2,NDUFA2,3.72E-11,-0.866971468,0.353,0.412,7.11E-07,B cell
ATP5O,ATP5O,3.85E-11,-0.905444068,0.475,0.473,7.35E-07,B cell
CYBB.1,CYBB,3.94E-11,-0.579333353,0.046,0.159,7.53E-07,B cell
WNK1.1,WNK1,3.95E-11,-0.676087391,0.074,0.195,7.54E-07,B cell
ADD3.1,ADD3,4.02E-11,-0.663854728,0.059,0.176,7.69E-07,B cell
C19orf60,C19orf60,4.04E-11,-0.862937211,0.304,0.387,7.72E-07,B cell
MRPS21,MRPS21,4.06E-11,-0.912991431,0.304,0.386,7.75E-07,B cell
HGSNAT,HGSNAT,4.06E-11,-0.394748914,0.015,0.109,7.76E-07,B cell
UHMK1.1,UHMK1,4.40E-11,-0.526165767,0.037,0.146,8.40E-07,B cell
PPP1R12A.1,PPP1R12A,4.59E-11,-0.78356562,0.109,0.233,8.76E-07,B cell
PCNA.1,PCNA,4.67E-11,-0.723637959,0.041,0.15,8.92E-07,B cell
TRAF3IP3.1,TRAF3IP3,4.78E-11,-0.833582583,0.098,0.22,9.14E-07,B cell
CSRNP1,CSRNP1,4.81E-11,-0.785559394,0.137,0.261,9.20E-07,B cell
LYAR.1,LYAR,4.88E-11,-0.685584977,0.072,0.191,9.32E-07,B cell
EIF2S3,EIF2S3,4.90E-11,-0.706321282,0.139,0.262,9.35E-07,B cell
SET,SET,4.91E-11,-1.053539372,0.306,0.386,9.37E-07,B cell
TCOF1,TCOF1,4.98E-11,-0.616701069,0.056,0.17,9.52E-07,B cell
AVPI1,AVPI1,5.20E-11,-0.556120864,0.048,0.16,9.93E-07,B cell
CTSL.1,CTSL,5.26E-11,-0.697951763,0.022,0.121,1.00E-06,B cell
KMT2E.1,KMT2E,5.27E-11,-1.138917408,0.351,0.413,1.01E-06,B cell
MCM3.1,MCM3,5.34E-11,-0.484040748,0.015,0.108,1.02E-06,B cell
SNAP23,SNAP23,6.66E-11,-0.604736234,0.087,0.208,1.27E-06,B cell
APOC3.1,APOC3,6.75E-11,-1.224227456,0.154,0.272,1.29E-06,B cell
CYB5B.1,CYB5B,6.81E-11,-0.560728299,0.063,0.179,1.30E-06,B cell
RSRC2.1,RSRC2,6.99E-11,-1.066470913,0.304,0.387,1.34E-06,B cell
NDUFA1.1,NDUFA1,7.59E-11,-0.921448363,0.636,0.544,1.45E-06,B cell
DECR1,DECR1,7.92E-11,-0.62625966,0.093,0.214,1.51E-06,B cell
APH1A,APH1A,8.04E-11,-0.639184204,0.119,0.239,1.54E-06,B cell
FAM129A.1,FAM129A,8.45E-11,-0.691249294,0.069,0.185,1.61E-06,B cell
MEAF6.1,MEAF6,8.53E-11,-0.799665929,0.202,0.313,1.63E-06,B cell
BLOC1S2.1,BLOC1S2,8.68E-11,-0.682129504,0.102,0.223,1.66E-06,B cell
GGCT,GGCT,9.17E-11,-0.373985175,0.026,0.125,1.75E-06,B cell
CXCR6.1,CXCR6,9.26E-11,-0.685014246,0.017,0.109,1.77E-06,B cell
CTSD,CTSD,9.34E-11,-1.406443384,0.304,0.381,1.78E-06,B cell
ITK.1,ITK,9.68E-11,-0.55492754,0.017,0.109,1.85E-06,B cell
MYO9B,MYO9B,1.04E-10,-0.511020551,0.043,0.15,1.98E-06,B cell
RBM25.1,RBM25,1.05E-10,-0.986940828,0.345,0.41,2.01E-06,B cell
NCL.1,NCL,1.06E-10,-1.224079449,0.753,0.601,2.03E-06,B cell
PDCD10.1,PDCD10,1.11E-10,-0.712979726,0.108,0.227,2.12E-06,B cell
CNBP,CNBP,1.15E-10,-0.970756717,0.365,0.415,2.20E-06,B cell
NR3C1.1,NR3C1,1.20E-10,-1.185021169,0.241,0.341,2.29E-06,B cell
RASSF3,RASSF3,1.20E-10,-0.363742121,0.019,0.112,2.30E-06,B cell
CD302.1,CD302,1.21E-10,-0.276683574,0.013,0.102,2.32E-06,B cell
RASGRP2,RASGRP2,1.24E-10,-0.388597566,0.013,0.102,2.36E-06,B cell
GABARAPL1,GABARAPL1,1.27E-10,-0.593437976,0.063,0.178,2.42E-06,B cell
PHACTR1.1,PHACTR1,1.28E-10,-0.682144739,0.063,0.179,2.44E-06,B cell
GATA3.1,GATA3,1.29E-10,-0.6325585,0.024,0.121,2.47E-06,B cell
DDX3X,DDX3X,1.35E-10,-0.92349196,0.308,0.39,2.57E-06,B cell
LAG3.1,LAG3,1.46E-10,-0.797701884,0.017,0.108,2.79E-06,B cell
ATP5F1,ATP5F1,1.51E-10,-0.853654529,0.245,0.339,2.88E-06,B cell
VDAC1,VDAC1,1.84E-10,-0.953356004,0.338,0.397,3.52E-06,B cell
PRKCB,PRKCB,1.89E-10,-0.649189814,0.08,0.195,3.61E-06,B cell
TNFRSF25.1,TNFRSF25,1.93E-10,-0.631590764,0.033,0.134,3.70E-06,B cell
CXCL3.1,CXCL3,1.94E-10,-1.762800584,0.015,0.103,3.71E-06,B cell
CBLB.1,CBLB,1.96E-10,-0.599505679,0.024,0.119,3.75E-06,B cell
CCDC85B.1,CCDC85B,2.08E-10,-0.925965971,0.293,0.373,3.97E-06,B cell
PARVG,PARVG,2.08E-10,-0.547719955,0.072,0.186,3.98E-06,B cell
PTBP1,PTBP1,2.18E-10,-0.536187132,0.072,0.186,4.17E-06,B cell
SNRNP40.1,SNRNP40,2.21E-10,-0.536163897,0.054,0.163,4.22E-06,B cell
ZFP36L2.1,ZFP36L2,2.21E-10,-1.166326898,0.38,0.431,4.23E-06,B cell
SMC3.1,SMC3,2.28E-10,-0.768410121,0.093,0.208,4.36E-06,B cell
SH3BP1.1,SH3BP1,2.33E-10,-0.380249007,0.017,0.106,4.44E-06,B cell
VAPA,VAPA,2.38E-10,-0.977498846,0.399,0.431,4.56E-06,B cell
SERTAD1,SERTAD1,2.46E-10,-0.752744631,0.137,0.255,4.71E-06,B cell
TAF7.1,TAF7,2.48E-10,-0.930037122,0.289,0.371,4.73E-06,B cell
PCNP.1,PCNP,2.48E-10,-0.880357726,0.228,0.328,4.74E-06,B cell
HADHA,HADHA,2.49E-10,-0.787643812,0.187,0.295,4.76E-06,B cell
EIF3I,EIF3I,2.59E-10,-0.872287434,0.288,0.368,4.96E-06,B cell
ETHE1,ETHE1,2.64E-10,-0.642215078,0.117,0.234,5.05E-06,B cell
SNU13.1,SNU13,2.67E-10,-0.923986039,0.622,0.539,5.10E-06,B cell
KLRD1.1,KLRD1,2.74E-10,-0.976010051,0.037,0.138,5.24E-06,B cell
PDCD1.1,PDCD1,2.74E-10,-0.601031453,0.02,0.112,5.24E-06,B cell
SIGIRR.1,SIGIRR,2.93E-10,-0.668489389,0.087,0.202,5.60E-06,B cell
RAD21.1,RAD21,2.99E-10,-0.764509602,0.128,0.245,5.71E-06,B cell
MAP4K4,MAP4K4,2.99E-10,-0.425197487,0.022,0.115,5.72E-06,B cell
TALDO1,TALDO1,3.01E-10,-0.813339254,0.213,0.314,5.74E-06,B cell
TGOLN2,TGOLN2,3.19E-10,-0.72037204,0.135,0.25,6.10E-06,B cell
TMEM176B.1,TMEM176B,3.20E-10,-0.41042673,0.02,0.112,6.12E-06,B cell
PGAM1.1,PGAM1,3.22E-10,-1.010155573,0.282,0.36,6.15E-06,B cell
NMI.1,NMI,3.25E-10,-0.430558237,0.03,0.127,6.22E-06,B cell
SYAP1.1,SYAP1,3.29E-10,-0.97867163,0.284,0.373,6.29E-06,B cell
RANBP1.1,RANBP1,3.48E-10,-1.096002164,0.349,0.403,6.64E-06,B cell
IL27RA.1,IL27RA,3.49E-10,-0.679767411,0.072,0.183,6.67E-06,B cell
METTL15.1,METTL15,3.80E-10,-0.862096792,0.1,0.215,7.26E-06,B cell
XRCC6.1,XRCC6,3.91E-10,-0.878306112,0.226,0.322,7.46E-06,B cell
SNX2,SNX2,3.98E-10,-0.591535384,0.095,0.208,7.61E-06,B cell
DUSP23,DUSP23,4.60E-10,-0.527377181,0.078,0.191,8.78E-06,B cell
ALB,ALB,4.70E-10,-0.933997314,0.186,0.294,8.98E-06,B cell
DDT,DDT,4.85E-10,-0.842143046,0.343,0.4,9.28E-06,B cell
GZMH.1,GZMH,5.00E-10,-1.051468974,0.043,0.144,9.56E-06,B cell
SFPQ.1,SFPQ,5.01E-10,-1.060353028,0.343,0.4,9.57E-06,B cell
IL4R.1,IL4R,5.03E-10,-0.438682523,0.015,0.1,9.60E-06,B cell
SIPA1L1,SIPA1L1,5.15E-10,-0.456228731,0.026,0.119,9.85E-06,B cell
METTL22,METTL22,5.52E-10,-0.39477446,0.022,0.114,1.05E-05,B cell
H2AFJ,H2AFJ,5.54E-10,-0.648575005,0.096,0.21,1.06E-05,B cell
HLA-DMA.1,HLA-DMA,5.89E-10,-1.615600274,0.406,0.425,1.13E-05,B cell
SSBP1.1,SSBP1,6.08E-10,-0.922382344,0.249,0.336,1.16E-05,B cell
NFATC1,NFATC1,6.17E-10,-0.410337848,0.019,0.106,1.18E-05,B cell
IQGAP2,IQGAP2,6.33E-10,-0.6962082,0.102,0.215,1.21E-05,B cell
RP11-1143G9.4.1,RP11-1143G9.4,6.68E-10,-0.776595268,0.039,0.138,1.28E-05,B cell
CSNK1A1,CSNK1A1,6.94E-10,-0.843815923,0.265,0.351,1.33E-05,B cell
C1QA.1,C1QA,7.30E-10,-2.573719583,0.059,0.164,1.39E-05,B cell
PTTG1.1,PTTG1,7.64E-10,-0.940269672,0.071,0.179,1.46E-05,B cell
PTPN18,PTPN18,7.88E-10,-0.440301085,0.037,0.135,1.51E-05,B cell
UQCRC2,UQCRC2,7.89E-10,-0.765480455,0.174,0.281,1.51E-05,B cell
ATP2B1,ATP2B1,8.27E-10,-0.91561448,0.247,0.335,1.58E-05,B cell
KIAA0101.1,KIAA0101,8.52E-10,-0.915230412,0.039,0.137,1.63E-05,B cell
NIPSNAP3A,NIPSNAP3A,8.76E-10,-0.320538705,0.017,0.102,1.67E-05,B cell
BLVRA,BLVRA,8.84E-10,-0.443196376,0.052,0.156,1.69E-05,B cell
MAP3K2,MAP3K2,9.42E-10,-0.608931532,0.076,0.185,1.80E-05,B cell
PHTF2.1,PHTF2,1.02E-09,-0.522345731,0.039,0.137,1.95E-05,B cell
MAPKAPK3,MAPKAPK3,1.04E-09,-0.433558423,0.037,0.134,1.99E-05,B cell
GLUD1.1,GLUD1,1.07E-09,-0.473172736,0.041,0.14,2.05E-05,B cell
BIN2.1,BIN2,1.11E-09,-0.782321801,0.124,0.237,2.12E-05,B cell
STX11,STX11,1.12E-09,-0.804307365,0.154,0.265,2.13E-05,B cell
EID1,EID1,1.18E-09,-0.858785415,0.358,0.409,2.25E-05,B cell
VMA21,VMA21,1.19E-09,-0.516600332,0.076,0.185,2.28E-05,B cell
ESYT1.1,ESYT1,1.19E-09,-0.445486254,0.03,0.122,2.28E-05,B cell
FOS,FOS,1.24E-09,-1.191904437,0.677,0.636,2.37E-05,B cell
MAGOH.1,MAGOH,1.28E-09,-0.806047853,0.167,0.274,2.45E-05,B cell
CLSPN.1,CLSPN,1.33E-09,-0.464640495,0.017,0.1,2.54E-05,B cell
PRPF40A.1,PRPF40A,1.33E-09,-0.784283496,0.182,0.285,2.54E-05,B cell
ATP6V0D1,ATP6V0D1,1.35E-09,-0.713009302,0.152,0.261,2.57E-05,B cell
GNAS,GNAS,1.38E-09,-0.887906125,0.312,0.383,2.64E-05,B cell
CDC42EP3.1,CDC42EP3,1.39E-09,-0.74928318,0.093,0.201,2.66E-05,B cell
CH17-189H20.1.1,CH17-189H20.1,1.41E-09,-0.68823451,0.069,0.175,2.69E-05,B cell
REV3L,REV3L,1.46E-09,-0.625698335,0.071,0.178,2.79E-05,B cell
MT-ND5,MT-ND5,1.51E-09,-0.637767945,0.978,0.806,2.88E-05,B cell
DDAH2,DDAH2,1.52E-09,-0.530302236,0.08,0.189,2.89E-05,B cell
CD8B.1,CD8B,1.54E-09,-0.806305792,0.033,0.127,2.94E-05,B cell
RNF149,RNF149,1.63E-09,-0.859988901,0.23,0.326,3.12E-05,B cell
LPP,LPP,1.66E-09,-0.475971233,0.039,0.135,3.17E-05,B cell
OXNAD1.1,OXNAD1,1.75E-09,-0.523117002,0.028,0.118,3.34E-05,B cell
KCTD12.1,KCTD12,1.90E-09,-0.42976206,0.032,0.124,3.63E-05,B cell
CCT2.1,CCT2,1.91E-09,-0.783093618,0.165,0.271,3.66E-05,B cell
PPP2R1A,PPP2R1A,1.97E-09,-0.553623867,0.082,0.189,3.77E-05,B cell
ZNF207.1,ZNF207,2.02E-09,-0.791583413,0.217,0.314,3.85E-05,B cell
SUMO3,SUMO3,2.14E-09,-0.743401946,0.2,0.298,4.10E-05,B cell
NDUFB9.1,NDUFB9,2.15E-09,-0.90543356,0.397,0.422,4.11E-05,B cell
BUB3.1,BUB3,2.16E-09,-0.914848123,0.195,0.293,4.12E-05,B cell
CLN8,CLN8,2.31E-09,-0.459461153,0.039,0.134,4.41E-05,B cell
GABARAPL2,GABARAPL2,2.32E-09,-0.882824884,0.319,0.38,4.44E-05,B cell
MCM7.1,MCM7,2.34E-09,-0.437820673,0.019,0.102,4.46E-05,B cell
TMOD3.1,TMOD3,2.36E-09,-0.677090368,0.08,0.186,4.50E-05,B cell
AGTRAP,AGTRAP,2.43E-09,-0.44898934,0.035,0.128,4.63E-05,B cell
CYTH1.1,CYTH1,2.46E-09,-0.750750248,0.104,0.211,4.69E-05,B cell
RAB5C,RAB5C,2.51E-09,-0.736666542,0.2,0.295,4.80E-05,B cell
FAM96B,FAM96B,2.55E-09,-0.865598705,0.319,0.376,4.87E-05,B cell
EIF4EBP1,EIF4EBP1,2.64E-09,-0.44784595,0.059,0.162,5.05E-05,B cell
MAPK1,MAPK1,2.96E-09,-0.421498714,0.026,0.114,5.65E-05,B cell
SNRPA.1,SNRPA,3.02E-09,-0.438632301,0.046,0.144,5.77E-05,B cell
MZT2B.1,MZT2B,3.07E-09,-0.929068498,0.423,0.438,5.87E-05,B cell
DCP2.1,DCP2,3.14E-09,-0.552094092,0.065,0.167,6.00E-05,B cell
MFSD10.1,MFSD10,3.22E-09,-0.530730003,0.061,0.163,6.15E-05,B cell
CCT3.1,CCT3,3.26E-09,-0.967053631,0.34,0.387,6.23E-05,B cell
SS18L2.1,SS18L2,3.34E-09,-0.697468623,0.122,0.23,6.39E-05,B cell
GGA1,GGA1,3.52E-09,-0.568501479,0.065,0.167,6.73E-05,B cell
SYTL3.1,SYTL3,3.59E-09,-0.868527534,0.083,0.188,6.86E-05,B cell
CYLD.1,CYLD,3.68E-09,-0.905526454,0.178,0.278,7.02E-05,B cell
TAOK3,TAOK3,3.76E-09,-0.826192702,0.195,0.293,7.19E-05,B cell
COMMD7,COMMD7,3.96E-09,-0.577445222,0.093,0.198,7.56E-05,B cell
ARID5A,ARID5A,4.02E-09,-0.849151393,0.195,0.291,7.68E-05,B cell
INSIG1.1,INSIG1,4.04E-09,-0.86339211,0.173,0.277,7.73E-05,B cell
RNF138.1,RNF138,4.18E-09,-0.466839255,0.03,0.118,7.98E-05,B cell
CCR7.1,CCR7,4.24E-09,-0.994324373,0.05,0.147,8.10E-05,B cell
NOSIP.1,NOSIP,4.34E-09,-0.904748401,0.206,0.3,8.30E-05,B cell
NSA2,NSA2,4.36E-09,-0.887828006,0.373,0.406,8.32E-05,B cell
RAB4B,RAB4B,4.56E-09,-0.431924825,0.041,0.134,8.72E-05,B cell
SMAD2.1,SMAD2,4.70E-09,-0.574823485,0.069,0.17,8.98E-05,B cell
CCSER2.1,CCSER2,4.83E-09,-0.648795542,0.071,0.172,9.23E-05,B cell
HNRNPH3.1,HNRNPH3,5.09E-09,-0.717439067,0.143,0.247,9.72E-05,B cell
COX14,COX14,5.11E-09,-0.750587985,0.18,0.279,9.76E-05,B cell
ILF3.1,ILF3,5.14E-09,-0.80175282,0.15,0.256,9.82E-05,B cell
PCM1.1,PCM1,5.23E-09,-0.764256219,0.13,0.236,1.00E-04,B cell
CTSA,CTSA,6.09E-09,-0.64102655,0.098,0.202,0.000116269,B cell
NUDT21.1,NUDT21,6.45E-09,-0.547580923,0.069,0.169,0.00012323,B cell
DEF6.1,DEF6,6.65E-09,-0.58481068,0.065,0.164,0.000127089,B cell
ITGB3BP,ITGB3BP,6.85E-09,-0.368933727,0.026,0.111,0.000130812,B cell
MTMR14,MTMR14,7.04E-09,-0.39053537,0.043,0.135,0.000134562,B cell
AKIRIN2,AKIRIN2,7.08E-09,-0.808282843,0.182,0.279,0.000135241,B cell
ITSN2,ITSN2,7.13E-09,-0.734376658,0.148,0.25,0.000136131,B cell
CD86.1,CD86,7.45E-09,-0.408088435,0.048,0.143,0.000142366,B cell
SH2D2A.1,SH2D2A,7.78E-09,-0.525798536,0.035,0.124,0.000148649,B cell
RPAIN.1,RPAIN,7.91E-09,-0.619481675,0.085,0.188,0.000151109,B cell
A2M,A2M,8.65E-09,-0.509268405,0.035,0.124,0.000165218,B cell
WDR83OS,WDR83OS,8.78E-09,-0.865098652,0.371,0.402,0.000167698,B cell
TXN,TXN,8.97E-09,-1.120654272,0.519,0.479,0.000171467,B cell
PICALM,PICALM,9.02E-09,-0.42088482,0.048,0.143,0.000172415,B cell
GCH1,GCH1,9.45E-09,-0.372076971,0.026,0.109,0.000180552,B cell
CKS1B.1,CKS1B,1.01E-08,-0.689381544,0.05,0.144,0.000192116,B cell
HNRNPR.1,HNRNPR,1.01E-08,-0.882519615,0.232,0.317,0.000193777,B cell
PPIG.1,PPIG,1.03E-08,-0.901133601,0.306,0.368,0.000197428,B cell
PAPD4,PAPD4,1.06E-08,-0.364367919,0.026,0.109,0.000202561,B cell
LMNA,LMNA,1.09E-08,-1.425578947,0.466,0.461,0.000209156,B cell
BUD31,BUD31,1.10E-08,-0.781692049,0.256,0.336,0.000209352,B cell
STX4,STX4,1.10E-08,-0.44542439,0.045,0.137,0.000210428,B cell
NOTCH2,NOTCH2,1.13E-08,-0.364865536,0.032,0.118,0.000215274,B cell
TOMM22,TOMM22,1.13E-08,-0.838378831,0.289,0.354,0.000215638,B cell
RAC1,RAC1,1.14E-08,-0.535142224,0.095,0.197,0.00021785,B cell
SNX9,SNX9,1.15E-08,-0.46271153,0.05,0.144,0.000220521,B cell
RUVBL1.1,RUVBL1,1.16E-08,-0.445320964,0.039,0.128,0.000221404,B cell
CAPZA2,CAPZA2,1.16E-08,-0.868420222,0.34,0.383,0.000222135,B cell
GNG5,GNG5,1.22E-08,-0.936644438,0.451,0.438,0.000233206,B cell
POLE4,POLE4,1.24E-08,-0.685625527,0.15,0.25,0.000236319,B cell
PHF11.1,PHF11,1.24E-08,-0.542078495,0.067,0.164,0.000236359,B cell
TUBA4A.1,TUBA4A,1.28E-08,-1.350150863,0.384,0.409,0.000244944,B cell
RNH1,RNH1,1.33E-08,-0.832617661,0.289,0.352,0.000254438,B cell
PNRC1,PNRC1,1.38E-08,-1.009963554,0.536,0.489,0.000264432,B cell
TUBA1C,TUBA1C,1.39E-08,-0.58560494,0.102,0.204,0.000264873,B cell
RBM38.1,RBM38,1.39E-08,-0.446102337,0.024,0.105,0.000266016,B cell
ANP32E.1,ANP32E,1.40E-08,-0.91892667,0.156,0.253,0.000267439,B cell
SNRPB2,SNRPB2,1.51E-08,-0.915656415,0.369,0.402,0.000287919,B cell
SERPINF1,SERPINF1,1.51E-08,-0.35685399,0.024,0.105,0.000288697,B cell
ATP5I.1,ATP5I,1.54E-08,-0.898479048,0.445,0.445,0.000294896,B cell
PPP1R15A.1,PPP1R15A,1.55E-08,-1.009000948,0.839,0.691,0.000295729,B cell
KHDRBS1.1,KHDRBS1,1.56E-08,-0.643157442,0.128,0.229,0.000298327,B cell
GK,GK,1.62E-08,-0.418721076,0.03,0.114,0.000308602,B cell
RSL24D1,RSL24D1,1.62E-08,-0.874249067,0.601,0.521,0.000310378,B cell
TBC1D10C.1,TBC1D10C,1.65E-08,-0.864545184,0.167,0.262,0.000315259,B cell
PPIF,PPIF,1.65E-08,-0.55440422,0.08,0.179,0.00031578,B cell
PAG1.1,PAG1,1.71E-08,-0.87852033,0.113,0.213,0.000327331,B cell
QKI,QKI,1.77E-08,-0.444489003,0.048,0.14,0.000337561,B cell
TRMT112.1,TRMT112,1.79E-08,-0.859113747,0.672,0.543,0.000342195,B cell
TMPO.1,TMPO,1.79E-08,-0.868693927,0.083,0.182,0.00034253,B cell
ARL6IP4,ARL6IP4,1.80E-08,-0.839898907,0.605,0.507,0.000343451,B cell
ZMYM2.1,ZMYM2,1.85E-08,-0.590848838,0.074,0.172,0.000353318,B cell
DR1.1,DR1,1.86E-08,-0.561553471,0.072,0.169,0.000356055,B cell
SETX.1,SETX,1.95E-08,-0.551925984,0.061,0.156,0.000373301,B cell
EGLN2,EGLN2,2.03E-08,-0.384673514,0.046,0.137,0.000387432,B cell
CBX3.1,CBX3,2.05E-08,-0.927457459,0.187,0.279,0.000392598,B cell
DUSP6,DUSP6,2.07E-08,-0.474248377,0.035,0.121,0.000396205,B cell
DOCK10.1,DOCK10,2.09E-08,-0.511429842,0.046,0.137,0.000398927,B cell
SERPINB6,SERPINB6,2.09E-08,-0.345658592,0.037,0.124,0.000399377,B cell
ADRBK1,ADRBK1,2.11E-08,-0.46103705,0.033,0.118,0.00040231,B cell
SKI.1,SKI,2.13E-08,-0.421758646,0.024,0.103,0.00040724,B cell
NKTR.1,NKTR,2.14E-08,-0.90177923,0.178,0.272,0.000408595,B cell
COMMD9,COMMD9,2.15E-08,-0.334382345,0.032,0.115,0.000411694,B cell
STK24,STK24,2.16E-08,-0.39236051,0.033,0.118,0.000413644,B cell
ANP32A,ANP32A,2.35E-08,-0.742972006,0.156,0.253,0.000448452,B cell
CKS2.1,CKS2,2.40E-08,-1.150449826,0.278,0.346,0.000457767,B cell
MRPL11,MRPL11,2.48E-08,-0.554191071,0.095,0.194,0.000473893,B cell
SLBP.1,SLBP,2.52E-08,-0.744340337,0.13,0.227,0.000481133,B cell
ERP29,ERP29,2.57E-08,-0.850312687,0.64,0.525,0.000491723,B cell
PSMB8.1,PSMB8,2.68E-08,-0.957773806,0.414,0.422,0.000512659,B cell
SLC5A3,SLC5A3,2.71E-08,-0.290253791,0.416,0.199,0.000517396,B cell
ARGLU1.1,ARGLU1,2.78E-08,-1.044440201,0.599,0.514,0.000531061,B cell
PRKAR2A.1,PRKAR2A,2.88E-08,-0.632762282,0.106,0.205,0.000550146,B cell
TSPYL2.1,TSPYL2,2.96E-08,-0.879811263,0.128,0.227,0.000565486,B cell
RTFDC1,RTFDC1,3.01E-08,-0.682709501,0.174,0.266,0.000574607,B cell
LBR.1,LBR,3.12E-08,-0.614563015,0.069,0.163,0.000595497,B cell
CALR,CALR,3.12E-08,-0.91478459,0.718,0.557,0.00059658,B cell
TRIM33.1,TRIM33,3.33E-08,-0.501310386,0.048,0.137,0.000636797,B cell
PRNP,PRNP,3.37E-08,-0.606988413,0.096,0.195,0.000643675,B cell
OXSR1,OXSR1,3.44E-08,-0.408572977,0.026,0.105,0.000656925,B cell
RAB27A.1,RAB27A,3.61E-08,-0.643749684,0.078,0.173,0.000689032,B cell
CTSH.1,CTSH,3.64E-08,-0.979850057,0.228,0.306,0.000695618,B cell
RPA3.1,RPA3,3.64E-08,-0.760482099,0.132,0.229,0.000695722,B cell
C9orf142.1,C9orf142,3.64E-08,-0.807676708,0.21,0.295,0.000695947,B cell
PTRHD1,PTRHD1,3.86E-08,-0.553380159,0.109,0.207,0.000736973,B cell
APBB1IP.1,APBB1IP,4.05E-08,-0.698241617,0.111,0.21,0.000773749,B cell
LUZP1.1,LUZP1,4.17E-08,-0.506137406,0.045,0.131,0.000797595,B cell
MITD1.1,MITD1,4.30E-08,-0.51986344,0.059,0.15,0.000822193,B cell
PPP6R1.1,PPP6R1,4.38E-08,-0.403435814,0.035,0.118,0.000836101,B cell
TRIM13.1,TRIM13,4.46E-08,-0.469801204,0.033,0.115,0.00085285,B cell
NUDT3,NUDT3,4.62E-08,-0.42275154,0.052,0.141,0.000883404,B cell
ORAI1.1,ORAI1,4.62E-08,-0.436292725,0.033,0.115,0.000883452,B cell
ALDH2.1,ALDH2,4.66E-08,-0.504284022,0.059,0.15,0.000890065,B cell
GPI,GPI,4.76E-08,-0.389222874,0.046,0.134,0.000909548,B cell
EIF5A,EIF5A,4.79E-08,-0.972548399,0.455,0.438,0.000914715,B cell
HNRNPD,HNRNPD,4.91E-08,-0.820479665,0.199,0.287,0.00093732,B cell
HMOX1.1,HMOX1,4.94E-08,-0.658546152,0.063,0.156,0.000943439,B cell
TIPIN.1,TIPIN,5.01E-08,-0.585911877,0.082,0.176,0.000956591,B cell
LYN.1,LYN,5.08E-08,-0.326686776,0.024,0.1,0.000971303,B cell
FEZ2,FEZ2,5.19E-08,-0.33535659,0.035,0.118,0.000990748,B cell
LUC7L2,LUC7L2,5.24E-08,-0.460568856,0.059,0.15,0.001001319,B cell
HSPH1.1,HSPH1,5.30E-08,-1.2026691,0.8,0.627,0.001013035,B cell
DYNLT3.1,DYNLT3,5.44E-08,-0.504198735,0.058,0.147,0.001040201,B cell
DGKZ.1,DGKZ,5.63E-08,-0.458559097,0.041,0.125,0.00107499,B cell
MT2A.1,MT2A,5.71E-08,-0.480521967,0.529,0.592,0.00109155,B cell
SIT1.1,SIT1,5.72E-08,-0.610856894,0.056,0.144,0.001092846,B cell
HNRNPM.1,HNRNPM,5.79E-08,-0.887689918,0.299,0.355,0.001105882,B cell
APMAP.1,APMAP,5.97E-08,-0.543137605,0.082,0.176,0.00113974,B cell
SNRPD1,SNRPD1,6.06E-08,-0.930889395,0.323,0.37,0.001157776,B cell
C11orf31,C11orf31,6.22E-08,-0.904014557,0.356,0.386,0.001187929,B cell
EIF4H,EIF4H,6.32E-08,-0.619622389,0.132,0.227,0.00120794,B cell
PPM1B.1,PPM1B,6.35E-08,-0.435692962,0.045,0.13,0.001214118,B cell
PAPD5,PAPD5,6.62E-08,-0.429284364,0.033,0.114,0.001265427,B cell
SLTM.1,SLTM,7.05E-08,-0.901008743,0.262,0.33,0.001347356,B cell
NDUFB5,NDUFB5,7.25E-08,-0.694939021,0.206,0.29,0.001385086,B cell
NASP.1,NASP,7.86E-08,-0.941031256,0.187,0.272,0.001501702,B cell
HDAC1.1,HDAC1,7.94E-08,-0.614524577,0.089,0.182,0.001516212,B cell
GOLGA4.1,GOLGA4,8.12E-08,-0.318024132,0.351,0.164,0.001550617,B cell
WDR82.1,WDR82,9.22E-08,-0.378847115,0.035,0.115,0.001762453,B cell
ATP5C1,ATP5C1,9.63E-08,-0.759109772,0.293,0.346,0.001840251,B cell
